Id,Score
1323432,4.0
1137299,4.0
1459366,4.0
931601,4.0
1311995,4.0
1329367,4.0
1202998,4.0
1157360,4.0
1319273,4.0
1680224,4.0
559834,4.0
1593714,4.0
559714,4.0
1579895,4.0
170262,4.0
606665,4.0
1488972,4.0
226579,4.0
747090,4.0
679814,4.0
744033,4.0
1355058,4.0
39326,4.0
307162,4.0
874876,4.0
746864,4.0
1303851,4.0
1523193,4.0
419357,4.0
654575,4.0
1040415,4.0
653145,4.0
207510,4.0
703629,4.0
1420976,4.0
1661302,4.0
68933,4.0
1187252,4.0
1640310,4.0
1057145,4.0
1245419,4.0
769699,4.0
1642855,4.0
642467,4.0
1347541,4.0
1494296,4.0
580436,4.0
638691,4.0
166038,4.0
1085081,4.0
1352751,4.0
272285,4.0
692423,4.0
117593,4.0
381750,4.0
1217959,4.0
1413467,4.0
1126529,4.0
529253,4.0
158189,4.0
137048,4.0
1071343,4.0
799144,4.0
1155102,4.0
1502775,4.0
68252,4.0
1106494,4.0
1635344,4.0
1591680,4.0
326582,4.0
919601,4.0
1599825,4.0
208323,4.0
170231,4.0
1534224,4.0
723163,4.0
980082,4.0
564026,4.0
537846,4.0
213644,4.0
1533453,4.0
636887,4.0
865638,4.0
78738,4.0
147227,4.0
1201864,4.0
736154,4.0
1070403,4.0
1097917,4.0
1669163,4.0
1603822,4.0
1199154,4.0
228385,4.0
1632561,4.0
1671761,4.0
1336994,4.0
483493,4.0
1217603,4.0
839185,4.0
488970,4.0
1232825,4.0
308502,4.0
1270530,4.0
1580455,4.0
76275,4.0
1550069,4.0
1597240,4.0
17751,4.0
816229,4.0
234222,4.0
919709,4.0
1666919,4.0
1663602,4.0
808032,4.0
731440,4.0
102820,4.0
1431909,4.0
604570,4.0
541202,4.0
1160833,4.0
140092,4.0
1451170,4.0
63225,4.0
82110,4.0
1481988,4.0
1012166,4.0
793299,4.0
899856,4.0
463711,4.0
987013,4.0
887752,4.0
598987,4.0
1374412,4.0
409741,4.0
